text,template_id,pc1,pc2,candidate_label,candidate_final_prob,number_subtype
"The worker is happy, and runs near a plate of mushroom under a turquoise sky in Haiti covering the ear while the children played outside.",1,-0.8080533,0.99686164,1,0.99691296,other_or_none
Did the scientist eat those marvelous games with a sense of curiosity?,7,0.66566086,-1.1288601,0,8.422407e-06,other_or_none
"The traveler visits the museum, calling it incredible and bought a few magazines by the brown door.",2,6.198922,-0.28347757,0,7.264815e-05,other_or_none
Did Ian eat those dreadful maps on a magenta carpet in Romania?,7,0.40222013,0.400748,1,0.94684166,other_or_none
Eva thought the songs was nasty in Hungary for three days with one hips raised while the children played outside.,3,-0.40549996,-1.3014281,1,0.99984205,written_number
"Why was Pablo pathetic, and cry near a plate of strawberry on a orange carpet in Madagascar in apartment 21?",1,1.2178739,1.1301018,1,0.99821824,digit
Does the worker order the nasty muffin on a ruby carpet with eleven attempts?,0,2.3469694,2.966027,0,0.004846534,written_number
The writer thinks the magazines is splendid wearing a grey jacket after 2 hours covering the teeth.,3,4.057441,-2.1780672,0,4.7340935e-05,digit
"The engineer was happy, and smiled near a stack of tools by the azure door in twenty minutes and the teeth was steady.",1,3.9260533,-2.1316626,0,9.935037e-06,written_number
Did the journalist think the garlic was lovely?,3,-1.3551667,0.75000566,0,0.0022448709,other_or_none
Did the artist think the fries was rotten at 7 in the morning with a sense of curiosity?,3,1.5049176,3.479105,0,3.3676592e-08,digit
Does my friend work and then cook the kind vegetables dressed in pink?,5,0.8479216,1.2592416,0,0.0009313032,other_or_none
"The visitor was wonderful, and worked near a plate of jam dressed in white covering the skin.",1,0.4624712,1.0454056,0,0.8681447,other_or_none
"The carpenter visited Turkmenistan, calling it frustrating and tried the local chicken.",2,0.07298883,1.0061927,1,0.99979967,other_or_none
Does Bella cry and then bake the cheerful tickets covering the thumb?,5,-3.8305552,-1.8700275,0,0.7606099,other_or_none
Did Aisha serve those cheerful magazines resting a tooth?,7,-2.8249764,-3.0891287,0,1.5560672e-05,other_or_none
Did the librarian bake the kind puzzles wearing a cyan jacket throughout the unexpected week?,0,3.8651702,0.10511424,0,1.199963e-05,other_or_none
Does the chef think the magazines is annoying holding a turquoise bag covering the head after the morning radio broadcast?,3,-1.0359167,0.11956784,0,5.8358096e-06,other_or_none
"This morning, the gardener brought the superb stories with a coral cover in Turkey.",4,2.3835795,0.74125576,1,0.99812454,other_or_none
Does Frank travel and then bring the kind eggs?,5,-3.7128098,0.24214964,0,1.2796081e-06,other_or_none
Oscar was a fan of the magnificent soup after 2 hours and the skin was steady while the children played outside.,6,-2.4676657,-0.77396417,0,1.00523575e-05,digit
Did my friend think the carrot was happy on a blue carpet in Cuba shaking the throat?,3,-2.0827384,0.37816203,1,0.9998299,other_or_none
"Why is Lisa delightful, and cry near a stack of letters in Liberia?",1,-2.2565112,-0.9484352,1,0.99937135,other_or_none
"Carol visited Ukraine, calling it pleasant and bought a few hats dressed in brown and the stomach was steady between the morning and evening shift.",2,-1.3842146,-1.2839414,1,0.9993082,other_or_none
The journalist was a fan of the disappointing coins by the brown door from Rwanda.,6,1.7807585,1.4239672,1,0.99972624,other_or_none
Does the journalist love the fabulous magazines by the gray door in Portugal for 30 dollars with one bone raised though it had not been the plan?,0,3.0324366,0.024275124,1,0.99888164,digit
Carol bakes those cheerful potato holding a gray bag in Lithuania in a characteristic way.,7,-1.0875362,-0.038488906,1,0.99771166,other_or_none
"Maria visited the harbor, calling it harsh and bought a few shoes in 12 minutes and the hand was steady.",2,-0.6536142,-1.6687543,0,2.3299175e-07,digit
"Yesterday, Martha served the lousy beef holding a violet bag with eleven attempts.",4,1.7667872,2.298903,0,4.1372114e-05,written_number
"This morning, the painter ate the dreadful kebab in Peru with a sense of curiosity.",4,-1.1788127,0.98999834,1,0.99962664,other_or_none
Mike packs the harsh chicken near gate 15 covering the cheeks though it had not been the plan.,0,-3.1437843,0.41984513,0,0.0061235353,digit
"Why is David beautiful, and laugh near a plate of bacon in Rwanda covering the bone?",1,-4.0483627,-0.6337279,1,0.9961591,other_or_none
Did the driver travel and then bring the splendid magazines in Somalia as part of the project?,5,1.3844826,0.4761671,1,0.99944097,other_or_none
Does the artist arrive and then cook the superb peas shaking the chin?,5,-3.7687066,0.86774296,0,3.644644e-06,other_or_none
The photographer ordered the dismal onion holding a maroon bag across seven cities shaking the tongue.,0,0.23656937,1.2024293,0,0.99981767,written_number
"Why is the teacher outstanding, and cry near a stack of boxes in 2024?",1,4.0878496,-1.2300044,0,0.00033191976,digit
Does the doctor eat those superb coins wearing a lime jacket?,7,0.93244755,-0.14839979,0,0.33249122,other_or_none
Eva travelled and then bought the tragic pictures between the morning and evening shift.,5,1.1280673,-1.6472394,0,3.5083893e-05,other_or_none
Tom is a fan of the painful magazines dressed in indigo from Nigeria near gate fifteen.,6,1.3193024,-0.36523288,1,0.9999789,written_number
Is Susan a fan of the annoying chicken?,6,-4.057942,1.5030321,0,4.0578198e-06,other_or_none
"The traveler visits the lake, calling it boring and tried the local peach painted azure covering the lip before the meeting next week.",2,-0.9705479,2.907655,0,1.5050604e-05,other_or_none
"Why is the scientist pleasant, and dance near a plate of pepper in Bahamas holding their lips?",1,-2.6247375,0.5717363,1,0.9998,other_or_none
Did the student run and then prepare the painful cheese for thirty dollars with one throat raised even after everyone went home?,5,0.2862065,2.5560422,0,1.35990795e-05,written_number
Does the chef sell those happy stories with five friends shaking the kidney?,7,-0.4036296,-1.2218564,0,0.99198955,written_number
Does the painter buy those stupid pudding beside a ivory fence in Kazakhstan with 5 friends?,7,3.1312165,1.427446,1,0.9999267,digit
The cyclist walks and then serves the frustrating tomato though it had not been the plan.,5,-1.8990638,2.4207952,0,6.797132e-06,other_or_none
Rachel is a fan of the fabulous honey painted olive from Morocco.,6,-0.06943575,-0.3768139,1,0.99988604,other_or_none
"On today, does the painter make the delightful spaghetti beside a purple fence in Greece near gate 15?",4,3.2582915,1.1997768,1,0.99921525,digit
"Susan visited the lake, calling it amazing and tried the local bananas dressed in azure.",2,-1.7474309,-0.540976,0,4.303645e-05,other_or_none
Ian travelled and then brought the useless maps holding a magenta bag in Italy.,5,0.47576252,-0.38894257,1,0.79016906,other_or_none
