probe,feature,accuracy,balanced_accuracy,f1,auc
logreg_l2,number,0.9733333333333334,0.9734838737347744,0.9750312109862672,0.9972551037913879
logreg_l2,question,1.0,1.0,1.0,1.0
logreg_l2,color,0.9726666666666667,0.9730023713050723,0.9733939000648929,0.9974488887622927
logreg_l2,food,0.984,0.9840070826792581,0.9839357429718876,0.9957902147381594
logreg_l2,sentiment,0.9813333333333333,0.9811357715136437,0.9821428571428571,0.9954767166661622
logreg_l2,country,0.5013333333333333,0.5015680446021575,0.5211267605633803,0.48666628739661927
logreg_l2,person,0.9993333333333333,0.9993455497382199,0.9993451211525868,0.9999982216025495
logreg_l2,body_part,0.9813333333333333,0.9813058358149251,0.9811320754716981,0.9985919374194409
linear_svc,number,0.976,0.9759714359238292,0.9775840597758406,0.9973784096757591
linear_svc,question,1.0,1.0,1.0,1.0
linear_svc,color,0.972,0.972309850529449,0.9727626459143969,0.9973919204722671
linear_svc,food,0.986,0.9860061973443508,0.9859531772575251,0.9960106595745059
linear_svc,sentiment,0.9806666666666667,0.980385155795056,0.9815404201145767,0.9954571276438502
linear_svc,country,0.5126666666666667,0.5128981446583369,0.5317104420243434,0.5089673661828603
linear_svc,person,0.9993333333333333,0.9993455497382199,0.9993451211525868,0.9999982216025495
linear_svc,body_part,0.9806666666666667,0.9806346948753277,0.9804450438300741,0.9985243788612828
ridge,number,0.9713333333333334,0.9719077028649854,0.9730069052102951,0.9969870475210156
ridge,question,1.0,1.0,1.0,1.0
ridge,color,0.9693333333333334,0.9701877817259967,0.9697368421052631,0.9973580955500645
ridge,food,0.9833333333333333,0.9833430814988116,0.9832327297116029,0.9953724362176644
ridge,sentiment,0.9793333333333333,0.9789391297843961,0.9803174603174604,0.995642332945708
ridge,country,0.5093333333333333,0.5095398269106322,0.5263835263835264,0.5040410038329979
ridge,person,1.0,1.0,1.0,1.0
ridge,body_part,0.978,0.9779501311169385,0.9776876267748479,0.9985261567180763
