text,template_id,country_label,country_word_guess,country_logit,country_prob,pre_gate_0,post_gate_0,contrib_0,pre_gate_56,post_gate_56,contrib_56,pre_gate_5,post_gate_5,contrib_5,pre_gate_60,post_gate_60,contrib_60,pre_gate_11,post_gate_11,contrib_11,pre_gate_61,post_gate_61,contrib_61
"The worker is happy, and runs near a plate of mushroom under a turquoise sky in Haiti covering the ear while the children played outside.",1,1,Haiti,5.7774386,0.99691296,-0.42470217,0.0,-0.0,-0.17205667,0.0,-0.0,0.43223402,0.43223402,-1.6375716,-0.30444726,0.0,-0.0,1.0103993,1.0103993,-2.7410228,1.0683682,1.0683682,-2.8407419
Did the scientist eat those marvelous games with a sense of curiosity?,7,0,,-11.684607,8.422407e-06,1.2322457,1.2322457,-4.5759892,1.8516432,1.8516432,-6.1702495,-1.1435182,0.0,-0.0,1.8550708,1.8550708,-5.91268,-1.7014886,0.0,-0.0,-1.7794529,0.0,-0.0
"The traveler visits the museum, calling it incredible and bought a few magazines by the brown door.",2,0,,-9.52981,7.264815e-05,1.5084614,1.5084614,-5.601726,2.1866722,2.1866722,-7.28667,-1.27015,0.0,-0.0,2.0980291,2.0980291,-6.6870627,-1.4438382,0.0,-0.0,-1.0794449,0.0,-0.0
Did Ian eat those dreadful maps on a magenta carpet in Romania?,7,1,Romania,2.879856,0.94684166,1.2114472,1.2114472,-4.498753,0.7076316,0.7076316,-2.358048,-0.415264,0.0,-0.0,0.64330035,0.64330035,-2.0503957,0.12709162,0.12709162,-0.3447756,-0.35022995,0.0,-0.0
Eva thought the songs was nasty in Hungary for three days with one hips raised while the children played outside.,3,1,Hungary,8.752891,0.99984205,0.9501095,0.9501095,-3.528266,0.745476,0.745476,-2.4841573,0.043909967,0.043909967,-0.16635829,0.5350999,0.5350999,-1.7055277,-0.32796723,0.0,-0.0,-0.47113675,0.0,-0.0
"Why was Pablo pathetic, and cry near a plate of strawberry on a orange carpet in Madagascar in apartment 21?",1,1,Madagascar,6.3283834,0.99821824,0.12393427,0.12393427,-0.4602344,-0.20696974,0.0,-0.0,0.736147,0.736147,-2.788983,-0.2397787,0.0,-0.0,0.998864,0.998864,-2.7097297,0.8263482,0.8263482,-2.1972218
Does the worker order the nasty muffin on a ruby carpet with eleven attempts?,0,0,,-5.324633,0.004846534,-0.6887398,0.0,-0.0,-0.98544204,0.0,-0.0,1.7352935,1.7352935,-6.5743723,-1.1158751,0.0,-0.0,1.993291,1.993291,-5.4074225,1.8194366,1.8194366,-4.837798
The writer thinks the magazines is splendid wearing a grey jacket after 2 hours covering the teeth.,3,0,,-9.958088,4.7340935e-05,1.3745725,1.3745725,-5.104525,2.176062,2.176062,-7.251314,-1.1191064,0.0,-0.0,2.0268016,2.0268016,-6.4600387,-1.7673882,0.0,-0.0,-1.036612,0.0,-0.0
"The engineer was happy, and smiled near a stack of tools by the azure door in twenty minutes and the teeth was steady.",1,0,,-11.519433,9.935038e-06,1.7386645,1.7386645,-6.4565935,2.4140172,2.4140172,-8.044254,-1.4998194,0.0,-0.0,2.2560322,2.2560322,-7.190667,-1.8871552,0.0,-0.0,-1.2869338,0.0,-0.0
Did the journalist think the garlic was lovely?,3,0,,-6.09686,0.0022448709,-1.1551099,0.0,-0.0,-0.7273078,0.0,-0.0,1.1314254,1.1314254,-4.286544,-0.58181137,0.0,-0.0,0.9618629,0.9618629,-2.6093528,0.9556831,0.9556831,-2.5411174
Did the artist think the fries was rotten at 7 in the morning with a sense of curiosity?,3,0,,-17.206463,3.3676592e-08,-1.6310917,0.0,-0.0,-1.8206562,0.0,-0.0,2.6901171,2.6901171,-10.191838,-1.9601479,0.0,-0.0,2.727789,2.727789,-7.399977,2.6509416,2.6509416,-7.0487313
