feature,neuron,corr,abs_corr
number,0,0.0,0.0
number,1,0.3250108015686675,0.3250108015686675
number,2,0.0,0.0
number,3,0.0,0.0
number,4,0.0,0.0
number,5,0.0,0.0
number,6,0.0,0.0
number,7,0.0,0.0
number,8,0.0,0.0
number,9,0.0,0.0
number,10,0.03842618900957254,0.03842618900957254
number,11,0.0,0.0
number,12,0.0,0.0
number,13,0.0,0.0
number,14,0.0,0.0
number,15,0.0,0.0
number,16,0.0,0.0
number,17,0.0,0.0
number,18,0.0,0.0
number,19,0.2890970079956741,0.2890970079956741
number,20,0.0,0.0
number,21,0.0,0.0
number,22,0.0,0.0
number,23,0.1334816000701552,0.1334816000701552
number,24,0.0,0.0
number,25,0.0,0.0
number,26,0.0,0.0
number,27,0.0,0.0
number,28,0.0,0.0
number,29,0.0,0.0
number,30,0.0,0.0
number,31,0.0022234394705573086,0.0022234394705573086
number,32,-0.03868318041013266,0.03868318041013266
number,33,0.0,0.0
number,34,0.7101226211057557,0.7101226211057557
number,35,0.0,0.0
number,36,0.3305795445872085,0.3305795445872085
number,37,0.0,0.0
number,38,0.0,0.0
number,39,0.0,0.0
number,40,0.0,0.0
number,41,0.0,0.0
number,42,0.0,0.0
number,43,0.38591470784532056,0.38591470784532056
number,44,0.6373336480776733,0.6373336480776733
number,45,0.0,0.0
number,46,0.22189294012185992,0.22189294012185992
number,47,0.0,0.0
number,48,0.0,0.0
number,49,0.0,0.0
number,50,0.0,0.0
number,51,-0.02286429673342477,0.02286429673342477
number,52,0.0,0.0
number,53,0.0,0.0
number,54,0.0,0.0
number,55,0.18236328191025272,0.18236328191025272
number,56,0.0,0.0
number,57,0.0,0.0
number,58,0.0,0.0
number,59,0.0,0.0
number,60,0.0,0.0
number,61,0.0,0.0
number,62,0.0,0.0
number,63,0.0,0.0
question,0,0.0,0.0
question,1,0.08222924449871223,0.08222924449871223
question,2,0.0,0.0
question,3,0.0,0.0
question,4,0.0,0.0
question,5,0.0,0.0
question,6,0.0,0.0
question,7,0.0,0.0
question,8,0.0,0.0
question,9,0.0,0.0
question,10,-0.004072199621966926,0.004072199621966926
question,11,0.0,0.0
question,12,0.0,0.0
question,13,0.0,0.0
question,14,0.0,0.0
question,15,0.0,0.0
question,16,0.0,0.0
question,17,0.0,0.0
question,18,0.0,0.0
question,19,-0.41917372567561556,0.41917372567561556
question,20,0.0,0.0
question,21,0.0,0.0
question,22,0.0,0.0
question,23,0.43449730350624427,0.43449730350624427
question,24,0.0,0.0
question,25,0.0,0.0
question,26,0.0,0.0
question,27,0.0,0.0
question,28,0.0,0.0
question,29,0.0,0.0
question,30,0.0,0.0
question,31,0.003929570964145949,0.003929570964145949
question,32,-0.03486528212385546,0.03486528212385546
question,33,0.0,0.0
question,34,-0.19327741358471628,0.19327741358471628
question,35,0.0,0.0
question,36,-0.2516960950853959,0.2516960950853959
question,37,0.0,0.0
question,38,0.0,0.0
question,39,0.0,0.0
question,40,0.0,0.0
question,41,0.0,0.0
question,42,0.0,0.0
question,43,-0.06537615034106253,0.06537615034106253
question,44,0.22713315468740658,0.22713315468740658
question,45,0.0,0.0
question,46,-0.17199867020104354,0.17199867020104354
question,47,0.0,0.0
question,48,0.0,0.0
question,49,0.0,0.0
question,50,0.0,0.0
question,51,-0.2871556019365677,0.2871556019365677
question,52,0.0,0.0
question,53,0.0,0.0
question,54,0.0,0.0
question,55,0.17457900439246032,0.17457900439246032
question,56,0.0,0.0
question,57,0.0,0.0
question,58,0.0,0.0
question,59,0.0,0.0
question,60,0.0,0.0
question,61,0.0,0.0
question,62,0.0,0.0
question,63,0.0,0.0
color,0,0.0,0.0
color,1,0.26182602202943994,0.26182602202943994
color,2,0.0,0.0
color,3,0.0,0.0
color,4,0.0,0.0
color,5,0.0,0.0
color,6,0.0,0.0
color,7,0.0,0.0
color,8,0.0,0.0
color,9,0.0,0.0
color,10,-0.08110008970334343,0.08110008970334343
color,11,0.0,0.0
color,12,0.0,0.0
color,13,0.0,0.0
color,14,0.0,0.0
color,15,0.0,0.0
color,16,0.0,0.0
color,17,0.0,0.0
color,18,0.0,0.0
