pc1,pc2,pc3,country_label,template_id,country_logit,text
-2.2260265,1.2158308,0.72759336,1,1,5.7774386,"The worker is happy, and runs near a plate of mushroom under a turquoise sky in Haiti covering the ear while the children played outside."
4.5067973,-4.862982,5.6728106,0,7,-11.684607,Did the scientist eat those marvelous games with a sense of curiosity?
9.424996,2.8064256,4.26673,0,2,-9.52981,"The traveler visits the museum, calling it incredible and bought a few magazines by the brown door."
1.5405134,-1.8198874,-2.046801,1,7,2.879856,Did Ian eat those dreadful maps on a magenta carpet in Romania?
0.49934432,-0.6501924,-3.3981984,1,3,8.752891,Eva thought the songs was nasty in Hungary for three days with one hips raised while the children played outside.
-0.63662666,2.086243,-2.110458,1,1,6.3283834,"Why was Pablo pathetic, and cry near a plate of strawberry on a orange carpet in Madagascar in apartment 21?"
-1.4294761,4.8504653,-2.4910455,0,0,-5.324633,Does the worker order the nasty muffin on a ruby carpet with eleven attempts?
6.953356,4.3229184,2.7573986,0,3,-9.958088,The writer thinks the magazines is splendid wearing a grey jacket after 2 hours covering the teeth.
7.452609,3.4628394,2.047486,0,1,-11.519433,"The engineer was happy, and smiled near a stack of tools by the azure door in twenty minutes and the teeth was steady."
-3.2576435,-1.769556,5.2603083,0,3,-6.09686,Did the journalist think the garlic was lovely?
-3.7658353,6.067782,-2.1019576,0,3,-17.206463,Did the artist think the fries was rotten at 7 in the morning with a sense of curiosity?
-1.3449405,1.4953641,6.746349,0,5,-6.977994,Does my friend work and then cook the kind vegetables dressed in pink?
-0.64034146,2.0303802,4.43554,0,1,1.884653,"The visitor was wonderful, and worked near a plate of jam dressed in white covering the skin."
-1.4023198,-0.90368885,-0.7806573,1,2,8.515481,"The carpenter visited Turkmenistan, calling it frustrating and tried the local chicken."
-2.3126154,-4.8732505,2.447172,0,5,1.1560265,Does Bella cry and then bake the cheerful tickets covering the thumb?
1.0607704,-5.281167,1.7825744,0,7,-11.070748,Did Aisha serve those cheerful magazines resting a tooth?
7.579724,-0.79245394,5.0999475,0,0,-11.330623,Did the librarian bake the kind puzzles wearing a cyan jacket throughout the unexpected week?
3.0833704,-4.2698946,-2.4721818,0,3,-12.051492,Does the chef think the magazines is annoying holding a turquoise bag covering the head after the morning radio broadcast?
1.6340008,1.56931,3.8996391,1,4,6.2770543,"This morning, the gardener brought the superb stories with a coral cover in Turkey."
-6.7446246,-2.2940915,3.0637338,0,5,-13.568955,Does Frank travel and then bring the kind eggs?
-5.3489947,1.4159842,2.0871468,0,6,-11.507693,Oscar was a fan of the magnificent soup after 2 hours and the skin was steady while the children played outside.
-2.3304946,-1.4358428,1.7909435,1,3,8.679336,Did my friend think the carrot was happy on a blue carpet in Cuba shaking the throat?
-1.2962538,-5.2962627,2.0377052,1,1,7.371352,"Why is Lisa delightful, and cry near a stack of letters in Liberia?"
-0.6604928,-0.7219467,0.5639486,1,2,7.2755623,"Carol visited Ukraine, calling it pleasant and bought a few hats dressed in brown and the stomach was steady between the morning and evening shift."
2.5511513,-1.3072096,-0.64231175,1,6,8.203015,The journalist was a fan of the disappointing coins by the brown door from Rwanda.
4.138203,4.8783617,-0.263311,1,0,6.794748,Does the journalist love the fabulous magazines by the gray door in Portugal for 30 dollars with one bone raised though it had not been the plan?
-2.433967,-0.35107207,1.3704008,1,7,6.0776386,Carol bakes those cheerful potato holding a gray bag in Lithuania in a characteristic way.
3.3559952,-2.1864643,-5.861789,0,2,-15.272263,"Maria visited the harbor, calling it harsh and bought a few shoes in 12 minutes and the hand was steady."
