x,y,soft_x,soft_y,country,true_sector,pred_sector,route,text
-1.0,1.2246469e-16,-0.9984496,-0.0036011208,1,4,4,2,"The worker is happy, and runs near a plate of mushroom under a turquoise sky in Haiti covering the ear while the children played outside."
-0.70710677,0.70710677,-0.70677406,0.707103,0,3,3,1,Did the scientist eat those marvelous games with a sense of curiosity?
-0.70710677,-0.70710677,-0.70710546,-0.70710677,0,5,5,2,"The traveler visits the museum, calling it incredible and bought a few magazines by the brown door."
-1.8369701e-16,-1.0,0.0033487077,-0.99722826,1,6,6,3,Did Ian eat those dreadful maps on a magenta carpet in Romania?
1.0,0.0,0.9986916,0.0014308165,1,0,0,0,Eva thought the songs was nasty in Hungary for three days with one hips raised while the children played outside.
-1.8369701e-16,-1.0,0.002727888,-0.99886376,1,6,6,3,"Why was Pablo pathetic, and cry near a plate of strawberry on a orange carpet in Madagascar in apartment 21?"
0.70710677,-0.70710677,0.7052788,-0.7058813,0,7,7,3,Does the worker order the nasty muffin on a ruby carpet with eleven attempts?
-0.70710677,-0.70710677,-0.7068171,-0.70681834,0,5,5,2,The writer thinks the magazines is splendid wearing a grey jacket after 2 hours covering the teeth.
-0.70710677,-0.70710677,-0.7071048,-0.7071067,0,5,5,2,"The engineer was happy, and smiled near a stack of tools by the azure door in twenty minutes and the teeth was steady."
-0.70710677,0.70710677,-0.6981554,0.7107573,0,3,3,1,Did the journalist think the garlic was lovely?
-0.70710677,0.70710677,-0.70609534,0.7069872,0,3,3,1,Did the artist think the fries was rotten at 7 in the morning with a sense of curiosity?
0.70710677,-0.70710677,0.70340204,-0.7086344,0,7,7,3,Does my friend work and then cook the kind vegetables dressed in pink?
-1.0,1.2246469e-16,-0.9844418,-0.037525482,0,5,4,2,"The visitor was wonderful, and worked near a plate of jam dressed in white covering the skin."
1.0,0.0,0.999832,0.00035162,1,0,0,0,"The carpenter visited Turkmenistan, calling it frustrating and tried the local chicken."
6.123234e-17,1.0,-0.025897346,0.98453647,0,3,2,1,Does Bella cry and then bake the cheerful tickets covering the thumb?
-0.70710677,0.70710677,-0.70707756,0.70710397,0,3,3,1,Did Aisha serve those cheerful magazines resting a tooth?
0.70710677,-0.70710677,0.7071027,-0.70710677,0,7,7,3,Did the librarian bake the kind puzzles wearing a cyan jacket throughout the unexpected week?
0.70710677,-0.70710677,0.7070879,-0.70709217,0,7,7,3,Does the chef think the magazines is annoying holding a turquoise bag covering the head after the morning radio broadcast?
-1.0,1.2246469e-16,-0.9999179,-6.557017e-05,1,4,4,2,"This morning, the gardener brought the superb stories with a coral cover in Turkey."
-0.70710677,0.70710677,-0.706445,0.7069357,0,3,3,1,Does Frank travel and then bring the kind eggs?
0.70710677,0.70710677,0.70695573,0.7070915,0,1,1,0,Oscar was a fan of the magnificent soup after 2 hours and the skin was steady while the children played outside.
-1.8369701e-16,-1.0,-0.00012414635,-0.9998074,1,6,6,3,Did my friend think the carrot was happy on a blue carpet in Cuba shaking the throat?
6.123234e-17,1.0,-0.00017648535,0.9998226,1,2,2,1,"Why is Lisa delightful, and cry near a stack of letters in Liberia?"
-1.0,1.2246469e-16,-0.9978449,-0.002745081,1,4,4,2,"Carol visited Ukraine, calling it pleasant and bought a few hats dressed in brown and the stomach was steady between the morning and evening shift."
-1.0,1.2246469e-16,-0.99933887,-0.0006935948,1,4,4,2,The journalist was a fan of the disappointing coins by the brown door from Rwanda.
-1.8369701e-16,-1.0,0.0003263276,-0.99805546,1,6,6,3,Does the journalist love the fabulous magazines by the gray door in Portugal for 30 dollars with one bone raised though it had not been the plan?
-1.0,1.2246469e-16,-0.99859387,-0.0033311148,1,4,4,2,Carol bakes those cheerful potato holding a gray bag in Lithuania in a characteristic way.
0.70710677,0.70710677,0.700908,0.7009118,0,1,1,0,"Maria visited the harbor, calling it harsh and bought a few shoes in 12 minutes and the hand was steady."
-0.70710677,-0.70710677,-0.70708454,-0.7070869,0,5,5,2,"Yesterday, Martha served the lousy beef holding a violet bag with eleven attempts."
1.0,0.0,0.99862564,0.0020338085,1,0,0,0,"This morning, the painter ate the dreadful kebab in Peru with a sense of curiosity."
-0.70710677,-0.70710677,-0.69988537,-0.6999314,0,1,5,0,Mike packs the harsh chicken near gate 15 covering the cheeks though it had not been the plan.
6.123234e-17,1.0,-0.0037761035,0.9942143,1,2,2,1,"Why is David beautiful, and laugh near a plate of bacon in Rwanda covering the bone?"
6.123234e-17,1.0,5.3905842e-05,0.9974215,1,2,2,1,Did the driver travel and then bring the splendid magazines in Somalia as part of the project?
-0.70710677,0.70710677,-0.70708066,0.70710933,0,3,3,1,Does the artist arrive and then cook the superb peas shaking the chin?
-1.0,1.2246469e-16,-0.9619712,-0.005674119,0,5,4,2,The photographer ordered the dismal onion holding a maroon bag across seven cities shaking the tongue.
-0.70710677,0.70710677,-0.70371246,0.70711243,0,3,3,1,"Why is the teacher outstanding, and cry near a stack of boxes in 2024?"
-1.8369701e-16,-1.0,0.051509608,-0.9786288,0,7,6,3,Does the doctor eat those superb coins wearing a lime jacket?
0.70710677,0.70710677,0.7070898,0.7070922,0,1,1,0,Eva travelled and then bought the tragic pictures between the morning and evening shift.
-1.0,1.2246469e-16,-0.9999887,-1.9734623e-05,1,4,4,2,Tom is a fan of the painful magazines dressed in indigo from Nigeria near gate fifteen.
-0.70710677,0.70710677,-0.70678633,0.70710284,0,3,3,1,Is Susan a fan of the annoying chicken?
-0.70710677,-0.70710677,-0.7071,-0.70710653,0,5,5,2,"The traveler visits the lake, calling it boring and tried the local peach painted azure covering the lip before the meeting next week."
6.123234e-17,1.0,-0.00026199807,0.9958131,1,2,2,1,"Why is the scientist pleasant, and dance near a plate of pepper in Bahamas holding their lips?"
-0.70710677,0.70710677,-0.6981552,0.69836855,0,3,3,1,Did the student run and then prepare the painful cheese for thirty dollars with one throat raised even after everyone went home?
6.123234e-17,1.0,-0.00010150507,0.99991727,0,3,2,1,Does the chef sell those happy stories with five friends shaking the kidney?
-1.8369701e-16,-1.0,2.8704364e-05,-0.9998973,1,6,6,3,Does the painter buy those stupid pudding beside a ivory fence in Kazakhstan with 5 friends?
0.70710677,0.70710677,0.70530504,0.70707387,0,1,1,0,The cyclist walks and then serves the frustrating tomato though it had not been the plan.
-1.0,1.2246469e-16,-0.9996658,-0.00014152295,1,4,4,2,Rachel is a fan of the fabulous honey painted olive from Morocco.
-1.8369701e-16,-1.0,-0.00019482152,-0.9996258,1,6,6,3,"On today, does the painter make the delightful spaghetti beside a purple fence in Greece near gate 15?"
-0.70710677,-0.70710677,-0.7015824,-0.7016684,0,5,5,2,"Susan visited the lake, calling it amazing and tried the local bananas dressed in azure."
-1.0,1.2246469e-16,-0.8258945,-0.18805192,1,4,4,2,Ian travelled and then brought the useless maps holding a magenta bag in Italy.
-1.8369701e-16,-1.0,0.000119470606,-0.9999288,1,6,6,3,"On right now, does Martha find the wonderful chicken under a turquoise sky in Tanzania shaking the ear?"
1.0,0.0,0.9993568,8.9844085e-05,1,0,0,0,The writer buys those dreadful boxes in Syria holding their feet.
1.0,0.0,0.99994296,2.2879358e-05,1,0,0,0,The writer collected those fabulous beef in Croatia from row eight and the chest was steady.
6.123234e-17,1.0,-7.2843504e-05,0.9999422,1,2,2,1,"Does the worker visit Cameroon, calling it magnificent and bought a few games at table six holding their stomach throughout the unexpected week?"
0.70710677,0.70710677,0.6807383,0.67709655,0,5,1,2,"My friend visits the library, calling it harsh and tried the local pancakes by the grey door across seven cities."
-1.8369701e-16,-1.0,-0.00012530973,-0.99977195,1,6,6,3,Did Steve eat those wretched tickets painted black in Germany with one muscles raised?
1.0,0.0,0.9996075,0.00025710816,1,0,0,0,Jade was a fan of the amazing pie from Montenegro near gate fifteen.
0.70710677,0.70710677,0.7070307,0.7070442,0,1,1,0,William was a fan of the pleasant tools after fourteen miles.
0.70710677,0.70710677,0.707691,0.7056421,0,1,1,0,Aiden thought the milk was wretched from row 8.
6.123234e-17,1.0,-0.122764364,0.9485628,1,2,2,1,Was Aaron a fan of the lousy fries from USA at 7 in the morning holding their foot though it had not been the plan?
1.0,0.0,0.73475343,0.0095557,1,0,0,0,"Lisa was fabulous, and waited near a plate of cookie in Philippines with eleven attempts."
-1.0,1.2246469e-16,-0.9998898,-0.00013487869,1,4,4,2,The neighbor was a fan of the nice keys on a peach carpet from Romania though it had not been the plan.
6.123234e-17,1.0,-0.00013634334,0.99945223,1,2,2,1,"On this morning, did the librarian prepare the wonderful lamb in Canada at table six during the long quiet afternoon?"
0.70710677,0.70710677,0.7070912,0.70709145,0,1,1,0,My friend likes those kind clothes.
-0.70710677,0.70710677,-0.706686,0.7071056,0,3,3,1,Is Bella a fan of the dismal carrot for three days with one throat raised?
-0.70710677,-0.70710677,-0.64888024,-0.65109307,0,5,5,2,"Mary visited the lake, calling it outstanding and tried the local vegetables by the lime door holding their finger."
-0.70710677,0.70710677,-0.51403874,0.5141272,0,7,3,3,"On today, does the photographer eat the boring donut wearing a gold jacket with one muscle raised during the long quiet afternoon?"
-1.0,1.2246469e-16,-0.9997432,-0.0005607663,1,4,4,2,Julia cooks those delightful boxes beside a magenta fence in Estonia.
